wav_filename,transcript,duration
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an1-mblw-b.wav,X I SIXTY ONE,1.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an10-fjmd-b.wav,G TWO EIGHTY NINE,1.6
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an100-mskh-b.wav,YES,0.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an101-mrcb-b.wav,R E W Y EIGHT FIVE SIX,3.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an102-mrcb-b.wav,NO,0.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an103-mrcb-b.wav,ERASE G H X W FIVE ZERO FOUR EIGHT TWO,4.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an104-mrcb-b.wav,START,1.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an105-mrcb-b.wav,ENTER EIGHT FOUR,1.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an106-mdxn-b.wav,ENTER ZERO,1.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an107-mdxn-b.wav,T V A H FIFTY TWO FIFTY THREE,2.9
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an108-mdxn-b.wav,ENTER FORTY ONE,1.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an109-mdxn-b.wav,B V I Q G EIGHTY SIX,2.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an110-mdxn-b.wav,ENTER SIXTY TWO THIRTY ONE,2.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an111-mdcs2-b.wav,P U X P I FIVE,2.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an112-mdcs2-b.wav,F Y Z O TWO TWO TWO,2.7
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an113-mdcs2-b.wav,RUBOUT H A X X N SIX SEVEN NINE ONE,4.8
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an114-mdcs2-b.wav,L R L Y U SEVEN THREE,3.0
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an115-mdcs2-b.wav,RUBOUT O K T L E TWO EIGHT ONE,3.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an116-fmjc-b.wav,O A M J ONE FIVE THREE,2.3
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an117-fmjc-b.wav,RUBOUT M N Z L THREE SEVEN SEVEN,3.2
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an118-fmjc-b.wav,RUBOUT J L Y Z TWO,2.5
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an119-fmjc-b.wav,ENTER THIRTY FIVE,4.1
/home/jovyan/repos/asr_final_project/an4/train/an4/wav/an120-fmjc-b.wav,RUBOUT Y Y F X ZERO,2.3
